:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Thu Nov 12 01:00:13 MST 2015
This is week number 10
Working with 16 remaining teams.  20,922,789,888,000 permutations.
0.0002485328% Iteration: 52,000,000. Elapsed: 2 minutes, 54.336 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002533123% Iteration: 53,000,000. Elapsed: 2 minutes, 57.650 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002580918% Iteration: 54,000,000. Elapsed: 3 minutes, 0.871 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002628713% Iteration: 55,000,000. Elapsed: 3 minutes, 3.922 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002676507% Iteration: 56,000,000. Elapsed: 3 minutes, 6.967 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002724302% Iteration: 57,000,000. Elapsed: 3 minutes, 10.026 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002772097% Iteration: 58,000,000. Elapsed: 3 minutes, 13.450 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002819892% Iteration: 59,000,000. Elapsed: 3 minutes, 17.073 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002867686% Iteration: 60,000,000. Elapsed: 3 minutes, 20.537 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002915481% Iteration: 61,000,000. Elapsed: 3 minutes, 24.089 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002963276% Iteration: 62,000,000. Elapsed: 3 minutes, 27.686 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003011071% Iteration: 63,000,000. Elapsed: 3 minutes, 31.280 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003058866% Iteration: 64,000,000. Elapsed: 3 minutes, 34.854 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003106660% Iteration: 65,000,000. Elapsed: 3 minutes, 38.479 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003154455% Iteration: 66,000,000. Elapsed: 3 minutes, 41.982 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003202250% Iteration: 67,000,000. Elapsed: 3 minutes, 45.464 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
