:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Thu Nov 05 13:29:27 MST 2015
This is week number 9
Working with 18 remaining teams.  6,402,373,705,728,000 permutations.
0.0000007966% Iteration: 51,000,000. Elapsed: 3 minutes, 53.532 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000008122% Iteration: 52,000,000. Elapsed: 3 minutes, 58.015 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000008278% Iteration: 53,000,000. Elapsed: 4 minutes, 2.390 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000008434% Iteration: 54,000,000. Elapsed: 4 minutes, 6.923 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000008591% Iteration: 55,000,000. Elapsed: 4 minutes, 11.546 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000008747% Iteration: 56,000,000. Elapsed: 4 minutes, 15.937 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000008903% Iteration: 57,000,000. Elapsed: 4 minutes, 20.431 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000009059% Iteration: 58,000,000. Elapsed: 4 minutes, 24.940 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000009215% Iteration: 59,000,000. Elapsed: 4 minutes, 29.453 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000009372% Iteration: 60,000,000. Elapsed: 4 minutes, 33.813 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
