:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Tue Oct 20 22:10:52 MDT 2015
This is week number 7
Working with 22 remaining teams.  1,124,000,727,777,607,680,000 permutations.
0.0000000000% Iteration: 56,000,000. Elapsed: 4 minutes, 50.265 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 57,000,000. Elapsed: 4 minutes, 55.434 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 58,000,000. Elapsed: 5 minutes, 0.667 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 59,000,000. Elapsed: 5 minutes, 5.871 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 60,000,000. Elapsed: 5 minutes, 11.056 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 61,000,000. Elapsed: 5 minutes, 16.268 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 62,000,000. Elapsed: 5 minutes, 21.471 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 63,000,000. Elapsed: 5 minutes, 26.662 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 64,000,000. Elapsed: 5 minutes, 31.840 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 65,000,000. Elapsed: 5 minutes, 37.054 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 66,000,000. Elapsed: 5 minutes, 42.242 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 67,000,000. Elapsed: 5 minutes, 47.467 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 68,000,000. Elapsed: 5 minutes, 52.727 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 69,000,000. Elapsed: 5 minutes, 57.907 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 70,000,000. Elapsed: 6 minutes, 3.110 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 71,000,000. Elapsed: 6 minutes, 8.323 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 72,000,000. Elapsed: 6 minutes, 13.506 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 73,000,000. Elapsed: 6 minutes, 18.695 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 74,000,000. Elapsed: 6 minutes, 23.911 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 75,000,000. Elapsed: 6 minutes, 29.094 seconds Best pick: nfl.Pick(iteration:74248785, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, TEN, OAK, PIT, NYJ, WAS, JAX, STL, MIA, PHI, HOU, SF], total:964.0)
0.0000000000% Iteration: 76,000,000. Elapsed: 6 minutes, 34.312 seconds Best pick: nfl.Pick(iteration:75087585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, TEN, PIT, WAS, MIA, NYJ, JAX, STL, OAK, PHI, HOU, SF], total:963.0)
0.0000000000% Iteration: 77,000,000. Elapsed: 6 minutes, 39.556 seconds Best pick: nfl.Pick(iteration:75087585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, TEN, PIT, WAS, MIA, NYJ, JAX, STL, OAK, PHI, HOU, SF], total:963.0)
0.0000000000% Iteration: 78,000,000. Elapsed: 6 minutes, 44.773 seconds Best pick: nfl.Pick(iteration:75087585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, TEN, PIT, WAS, MIA, NYJ, JAX, STL, OAK, PHI, HOU, SF], total:963.0)
0.0000000000% Iteration: 79,000,000. Elapsed: 6 minutes, 49.962 seconds Best pick: nfl.Pick(iteration:75087585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, TEN, PIT, WAS, MIA, NYJ, JAX, STL, OAK, PHI, HOU, SF], total:963.0)
0.0000000000% Iteration: 80,000,000. Elapsed: 6 minutes, 55.153 seconds Best pick: nfl.Pick(iteration:75087585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, TEN, PIT, WAS, MIA, NYJ, JAX, STL, OAK, PHI, HOU, SF], total:963.0)
0.0000000000% Iteration: 81,000,000. Elapsed: 7 minutes, 0.345 seconds Best pick: nfl.Pick(iteration:75087585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, TEN, PIT, WAS, MIA, NYJ, JAX, STL, OAK, PHI, HOU, SF], total:963.0)
0.0000000000% Iteration: 82,000,000. Elapsed: 7 minutes, 5.532 seconds Best pick: nfl.Pick(iteration:75087585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, TEN, PIT, WAS, MIA, NYJ, JAX, STL, OAK, PHI, HOU, SF], total:963.0)
0.0000000000% Iteration: 83,000,000. Elapsed: 7 minutes, 10.754 seconds Best pick: nfl.Pick(iteration:75087585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, TEN, PIT, WAS, MIA, NYJ, JAX, STL, OAK, PHI, HOU, SF], total:963.0)
