:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Thu Oct 29 12:58:28 MDT 2015
This is week number 8
Working with 20 remaining teams.  2,432,902,008,176,640,000 permutations.
0.0000000021% Iteration: 52,000,000. Elapsed: 4 minutes, 26.160 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000022% Iteration: 53,000,000. Elapsed: 4 minutes, 31.265 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000022% Iteration: 54,000,000. Elapsed: 4 minutes, 36.372 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000023% Iteration: 55,000,000. Elapsed: 4 minutes, 41.455 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000023% Iteration: 56,000,000. Elapsed: 4 minutes, 46.529 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000023% Iteration: 57,000,000. Elapsed: 4 minutes, 51.571 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000024% Iteration: 58,000,000. Elapsed: 4 minutes, 56.700 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000024% Iteration: 59,000,000. Elapsed: 5 minutes, 1.802 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000025% Iteration: 60,000,000. Elapsed: 5 minutes, 6.818 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000025% Iteration: 61,000,000. Elapsed: 5 minutes, 11.823 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000025% Iteration: 62,000,000. Elapsed: 5 minutes, 16.819 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000026% Iteration: 63,000,000. Elapsed: 5 minutes, 21.814 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
0.0000000026% Iteration: 64,000,000. Elapsed: 5 minutes, 26.878 seconds Best pick: nfl.Pick(iteration:9769185, teams:[ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, JAX, PIT, TEN, MIA, NYJ, IND, STL, OAK, PHI, HOU, SF], total:935.5)
