:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Wed Nov 25 00:41:58 MST 2015
This is week number 12
Working with 12 remaining teams.  479,001,600 permutations.
18.7890815735% Iteration: 90,000,000. Elapsed: 3 minutes, 43.874 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
18.9978504181% Iteration: 91,000,000. Elapsed: 3 minutes, 46.367 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
19.2066154480% Iteration: 92,000,000. Elapsed: 3 minutes, 48.888 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
19.4153842926% Iteration: 93,000,000. Elapsed: 3 minutes, 51.403 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
19.6241512299% Iteration: 94,000,000. Elapsed: 3 minutes, 53.910 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
19.8329200745% Iteration: 95,000,000. Elapsed: 3 minutes, 56.392 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
20.0416870117% Iteration: 96,000,000. Elapsed: 3 minutes, 58.841 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
20.2504539490% Iteration: 97,000,000. Elapsed: 4 minutes, 1.290 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
20.4592208862% Iteration: 98,000,000. Elapsed: 4 minutes, 3.737 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
20.6679897308% Iteration: 99,000,000. Elapsed: 4 minutes, 6.222 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
20.8767566681% Iteration: 100,000,000. Elapsed: 4 minutes, 8.703 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
21.0855255127% Iteration: 101,000,000. Elapsed: 4 minutes, 11.196 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
21.2942924500% Iteration: 102,000,000. Elapsed: 4 minutes, 13.682 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
21.5030593872% Iteration: 103,000,000. Elapsed: 4 minutes, 16.152 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
21.7118282318% Iteration: 104,000,000. Elapsed: 4 minutes, 18.624 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
21.9205951691% Iteration: 105,000,000. Elapsed: 4 minutes, 21.107 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
22.1293621063% Iteration: 106,000,000. Elapsed: 4 minutes, 23.564 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
