:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Thu Oct 30 00:55:52 MDT 2014
This is week number 9
Working with 18 remaining teams.  6,402,373,705,728,000 permutations.
0.0000008122% Iteration: 52,000,000. Elapsed: 4 minutes, 22.345 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000008278% Iteration: 53,000,000. Elapsed: 4 minutes, 27.484 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000008434% Iteration: 54,000,000. Elapsed: 4 minutes, 32.706 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000008591% Iteration: 55,000,000. Elapsed: 4 minutes, 37.920 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000008747% Iteration: 56,000,000. Elapsed: 4 minutes, 43.311 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000008903% Iteration: 57,000,000. Elapsed: 4 minutes, 48.431 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000009059% Iteration: 58,000,000. Elapsed: 4 minutes, 53.720 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000009215% Iteration: 59,000,000. Elapsed: 4 minutes, 58.820 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000009372% Iteration: 60,000,000. Elapsed: 5 minutes, 4.032 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000009528% Iteration: 61,000,000. Elapsed: 5 minutes, 9.249 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000009684% Iteration: 62,000,000. Elapsed: 5 minutes, 14.399 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000009840% Iteration: 63,000,000. Elapsed: 5 minutes, 19.695 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000009996% Iteration: 64,000,000. Elapsed: 5 minutes, 24.842 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000010152% Iteration: 65,000,000. Elapsed: 5 minutes, 29.897 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000010309% Iteration: 66,000,000. Elapsed: 5 minutes, 34.897 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000010465% Iteration: 67,000,000. Elapsed: 5 minutes, 40.174 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000010621% Iteration: 68,000,000. Elapsed: 5 minutes, 45.376 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000010777% Iteration: 69,000,000. Elapsed: 5 minutes, 50.543 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000010933% Iteration: 70,000,000. Elapsed: 5 minutes, 55.849 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000011090% Iteration: 71,000,000. Elapsed: 6 minutes, 1.232 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000011246% Iteration: 72,000,000. Elapsed: 6 minutes, 6.539 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000011402% Iteration: 73,000,000. Elapsed: 6 minutes, 11.795 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000011558% Iteration: 74,000,000. Elapsed: 6 minutes, 16.960 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000011714% Iteration: 75,000,000. Elapsed: 6 minutes, 21.989 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000011871% Iteration: 76,000,000. Elapsed: 6 minutes, 27.059 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
