:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Tue Sep 29 20:09:38 MDT 2015
This is week number 12
Working with 12 remaining teams.  479,001,600 permutations.
15.8663349152% Iteration: 76,000,000. Elapsed: 3 minutes, 51.651 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
16.0751037598% Iteration: 77,000,000. Elapsed: 3 minutes, 54.389 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
16.2838706970% Iteration: 78,000,000. Elapsed: 3 minutes, 57.171 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
16.4926376343% Iteration: 79,000,000. Elapsed: 3 minutes, 59.920 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
16.7014064789% Iteration: 80,000,000. Elapsed: 4 minutes, 2.790 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
16.9101734161% Iteration: 81,000,000. Elapsed: 4 minutes, 6.100 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
17.1189403534% Iteration: 82,000,000. Elapsed: 4 minutes, 9.389 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
17.3277072906% Iteration: 83,000,000. Elapsed: 4 minutes, 12.710 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
17.5364761353% Iteration: 84,000,000. Elapsed: 4 minutes, 15.791 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
17.7452430725% Iteration: 85,000,000. Elapsed: 4 minutes, 18.586 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
17.9540119171% Iteration: 86,000,000. Elapsed: 4 minutes, 21.350 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
18.1627788544% Iteration: 87,000,000. Elapsed: 4 minutes, 24.135 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
18.3715457916% Iteration: 88,000,000. Elapsed: 4 minutes, 27.363 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
18.5803127289% Iteration: 89,000,000. Elapsed: 4 minutes, 30.665 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
18.7890815735% Iteration: 90,000,000. Elapsed: 4 minutes, 33.952 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
18.9978504181% Iteration: 91,000,000. Elapsed: 4 minutes, 37.250 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
19.2066154480% Iteration: 92,000,000. Elapsed: 4 minutes, 40.549 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
19.4153842926% Iteration: 93,000,000. Elapsed: 4 minutes, 43.852 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
19.6241512299% Iteration: 94,000,000. Elapsed: 4 minutes, 47.146 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
19.8329200745% Iteration: 95,000,000. Elapsed: 4 minutes, 50.439 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
20.0416870117% Iteration: 96,000,000. Elapsed: 4 minutes, 53.736 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
20.2504539490% Iteration: 97,000,000. Elapsed: 4 minutes, 57.078 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
20.4592208862% Iteration: 98,000,000. Elapsed: 5 minutes, 0.423 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
20.6679897308% Iteration: 99,000,000. Elapsed: 5 minutes, 3.731 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
20.8767566681% Iteration: 100,000,000. Elapsed: 5 minutes, 7.059 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
21.0855255127% Iteration: 101,000,000. Elapsed: 5 minutes, 10.361 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
21.2942924500% Iteration: 102,000,000. Elapsed: 5 minutes, 13.656 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
21.5030593872% Iteration: 103,000,000. Elapsed: 5 minutes, 16.937 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
21.7118282318% Iteration: 104,000,000. Elapsed: 5 minutes, 20.212 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
21.9205951691% Iteration: 105,000,000. Elapsed: 5 minutes, 23.542 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
22.1293621063% Iteration: 106,000,000. Elapsed: 5 minutes, 26.803 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
22.3381290436% Iteration: 107,000,000. Elapsed: 5 minutes, 30.153 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
22.5468978882% Iteration: 108,000,000. Elapsed: 5 minutes, 33.447 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
22.7556648254% Iteration: 109,000,000. Elapsed: 5 minutes, 36.739 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
22.9644336700% Iteration: 110,000,000. Elapsed: 5 minutes, 40.073 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
23.1731987000% Iteration: 111,000,000. Elapsed: 5 minutes, 43.374 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
23.3819675446% Iteration: 112,000,000. Elapsed: 5 minutes, 46.682 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
23.5907363892% Iteration: 113,000,000. Elapsed: 5 minutes, 49.988 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
23.7995033264% Iteration: 114,000,000. Elapsed: 5 minutes, 53.330 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
24.0082702637% Iteration: 115,000,000. Elapsed: 5 minutes, 56.641 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
24.2170372009% Iteration: 116,000,000. Elapsed: 5 minutes, 59.967 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
